epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1607,2.11049,12.5522,1.09213,0.66681,0.0725,0.01779,0.00977,1.76095,4.02174,0.86927,0.000105424,0.000105424,0.000105424
2,54.6785,1.55101,3.66552,0.88385,0.02057,0.49281,0.04897,0.02758,1.55033,3.38668,0.84648,0.000212035,0.000212035,0.000212035
3,82.4785,1.50632,2.85428,0.88692,0.30074,0.15527,0.06881,0.03734,1.57264,3.11593,0.85401,0.000317581,0.000317581,0.000317581
4,110.458,1.46463,2.24344,0.88266,0.30548,0.15918,0.07921,0.0457,1.60604,3.1059,0.84826,0.000318203,0.000318203,0.000318203
5,135.225,1.42002,2.06935,0.86597,0.35936,0.13599,0.07832,0.0424,1.58667,2.93406,0.85314,0.000316605,0.000316605,0.000316605
6,161.476,1.39985,1.82334,0.87265,0.29297,0.17242,0.09724,0.05827,1.47715,3.03339,0.84433,0.000315006,0.000315006,0.000315006
7,183.051,1.33379,1.7297,0.86512,0.26445,0.1617,0.08762,0.05336,1.48305,2.98962,0.84566,0.000313407,0.000313407,0.000313407
8,202.549,1.36314,1.64796,0.85775,0.24513,0.20274,0.09235,0.05115,1.60628,3.12687,0.85358,0.000311808,0.000311808,0.000311808
9,221.888,1.33179,1.56386,0.85448,0.22267,0.19147,0.08963,0.05436,1.43455,3.05428,0.83824,0.000310209,0.000310209,0.000310209
10,241.058,1.29845,1.47508,0.85517,0.28519,0.20303,0.08593,0.04945,1.47052,3.17318,0.84075,0.00030861,0.00030861,0.00030861
11,260.239,1.28562,1.45368,0.85002,0.62479,0.08617,0.10673,0.06638,1.42907,3.0518,0.83782,0.000307011,0.000307011,0.000307011
12,280.159,1.29205,1.38203,0.85645,0.28885,0.1702,0.11181,0.06645,1.51246,3.12936,0.84388,0.000305413,0.000305413,0.000305413
13,300.216,1.25217,1.30039,0.84659,0.14474,0.25028,0.10815,0.06278,1.43879,3.12413,0.83888,0.000303814,0.000303814,0.000303814
14,320.715,1.24755,1.2824,0.83902,0.28636,0.16512,0.11284,0.06328,1.49572,3.10889,0.84108,0.000302215,0.000302215,0.000302215
15,339.931,1.24556,1.27291,0.84994,0.14565,0.20916,0.10096,0.05582,1.4774,3.15168,0.8424,0.000300616,0.000300616,0.000300616
