epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.142,1.64683,6.68754,0.97301,0.47681,0.41812,0.44542,0.23107,1.53686,4.29749,0.91471,0.000544981,0.000544981,0.000544981
2,56.8725,1.40102,1.13622,0.91381,0.5661,0.50377,0.50073,0.2459,1.52652,0.88174,0.9227,0.00108975,0.00108975,0.00108975
3,78.3704,1.39755,1.00139,0.90844,0.43772,0.49025,0.54755,0.30549,1.4531,0.81604,0.90558,0.00162352,0.00162352,0.00162352
4,107.908,1.41968,0.97668,0.90105,0.45304,0.56347,0.47624,0.25334,1.50142,1.19615,0.89483,0.00161749,0.00161749,0.00161749
5,130.381,1.30019,0.84448,0.89217,0.64665,0.37834,0.51557,0.29115,1.62467,1.40098,0.93366,0.00160099,0.00160099,0.00160099
6,149.93,1.34307,0.83483,0.88855,0.66732,0.64611,0.64852,0.36232,1.45798,0.72143,0.88635,0.00158448,0.00158448,0.00158448
7,170.986,1.24982,0.7932,0.88346,0.97185,0.53344,0.5947,0.36039,1.45502,0.84317,0.8824,0.00156798,0.00156798,0.00156798
8,192.304,1.25203,0.78978,0.88205,0.63804,0.50559,0.58133,0.36223,1.37379,0.73773,0.88106,0.00155148,0.00155148,0.00155148
9,211.676,1.19257,0.74036,0.87016,0.62114,0.50975,0.56094,0.35866,1.22366,0.65219,0.86039,0.00153497,0.00153497,0.00153497
10,231.073,1.21905,0.74787,0.87006,0.94622,0.58776,0.63174,0.3627,1.3471,0.61732,0.88413,0.00151847,0.00151847,0.00151847
11,250.397,1.19426,0.72488,0.87416,0.68982,0.49281,0.5764,0.35327,1.30817,0.85441,0.89114,0.00150197,0.00150197,0.00150197
12,269.771,1.16974,0.70109,0.85703,0.93714,0.58897,0.61282,0.35269,1.28997,0.62753,0.857,0.00148546,0.00148546,0.00148546
13,289.163,1.16665,0.70165,0.86552,0.9638,0.5807,0.63558,0.38963,1.23624,0.63933,0.85686,0.00146896,0.00146896,0.00146896
14,308.832,1.1253,0.67057,0.85425,0.96007,0.57866,0.66467,0.42312,1.23104,0.59695,0.86131,0.00145246,0.00145246,0.00145246
15,328.578,1.13632,0.66645,0.85747,0.7216,0.66774,0.69824,0.44131,1.27724,0.60029,0.86016,0.00143595,0.00143595,0.00143595
16,350.233,1.10335,0.64896,0.85963,0.71923,0.67066,0.68521,0.44138,1.20789,0.57998,0.85791,0.00141945,0.00141945,0.00141945
17,369.776,1.15555,0.6568,0.85997,0.8661,0.63699,0.72332,0.46584,1.22685,0.5684,0.85268,0.00140295,0.00140295,0.00140295
18,389.529,1.0948,0.64561,0.85851,0.70381,0.74519,0.77218,0.49363,1.24248,0.59307,0.86373,0.00138644,0.00138644,0.00138644
19,409.177,1.09274,0.65978,0.85471,0.50408,0.76205,0.59808,0.35869,1.24855,0.76461,0.86088,0.00136994,0.00136994,0.00136994
20,428.495,1.07049,0.63481,0.84693,0.9231,0.68604,0.78691,0.52355,1.22058,0.58903,0.85365,0.00135344,0.00135344,0.00135344
21,448.335,1.08221,0.62009,0.85654,0.8833,0.72355,0.8113,0.54137,1.21638,0.57594,0.85717,0.00133693,0.00133693,0.00133693
22,468.169,1.08133,0.61704,0.84832,0.96979,0.63351,0.76118,0.47619,1.21522,0.56203,0.85419,0.00132043,0.00132043,0.00132043
23,487.438,1.06839,0.59834,0.85575,0.74431,0.69983,0.75117,0.49292,1.19845,0.55618,0.852,0.00130393,0.00130393,0.00130393
24,508.4,1.07045,0.60547,0.8363,0.95632,0.60875,0.71909,0.48314,1.18694,0.54721,0.84948,0.00128742,0.00128742,0.00128742
25,528.167,1.05764,0.58749,0.84795,0.76235,0.78406,0.75928,0.49347,1.17647,0.55988,0.84994,0.00127092,0.00127092,0.00127092
26,547.502,1.01666,0.5782,0.83804,0.7868,0.73276,0.79853,0.53489,1.21681,0.5382,0.85484,0.00125442,0.00125442,0.00125442
27,566.933,1.02205,0.57386,0.84404,0.86851,0.75488,0.78459,0.50954,1.20659,0.5435,0.85318,0.00123791,0.00123791,0.00123791
28,586.456,1.03122,0.57053,0.84365,0.84704,0.6993,0.76983,0.49937,1.1533,0.52046,0.85191,0.00122141,0.00122141,0.00122141
29,605.793,1.03591,0.57959,0.84551,0.74195,0.68393,0.78809,0.54327,1.11408,0.50237,0.84344,0.00120491,0.00120491,0.00120491
30,625.215,1.01742,0.54905,0.85071,0.79703,0.71881,0.80149,0.53164,1.21381,0.53411,0.8576,0.0011884,0.0011884,0.0011884
31,644.582,1.01352,0.57885,0.84081,0.77659,0.66576,0.73664,0.48674,1.18893,0.53967,0.85131,0.0011719,0.0011719,0.0011719
32,666.094,1.00573,0.54997,0.83771,0.91656,0.77015,0.84628,0.57923,1.17634,0.53999,0.84884,0.0011554,0.0011554,0.0011554
33,686.176,1.00429,0.56046,0.83787,0.83195,0.82278,0.87492,0.61275,1.13523,0.51495,0.84758,0.00113889,0.00113889,0.00113889
34,705.922,1.01167,0.53965,0.844,0.91755,0.75493,0.83539,0.56702,1.18272,0.53286,0.84951,0.00112239,0.00112239,0.00112239
35,725.315,1.00088,0.55142,0.8473,0.96514,0.78558,0.87204,0.60409,1.1596,0.52641,0.84752,0.00110589,0.00110589,0.00110589
36,744.725,1.0066,0.55,0.84034,0.97876,0.71266,0.83185,0.55594,1.16698,0.51827,0.85204,0.00108938,0.00108938,0.00108938
37,764.203,1.00411,0.54838,0.84719,0.96608,0.76224,0.85175,0.58977,1.12509,0.51728,0.84532,0.00107288,0.00107288,0.00107288
38,783.625,0.98553,0.54742,0.8356,0.85907,0.75368,0.83807,0.53829,1.16331,0.53595,0.85009,0.00105638,0.00105638,0.00105638
39,802.788,0.98052,0.53433,0.8409,0.86222,0.78377,0.86397,0.5641,1.19386,0.51615,0.85042,0.00103987,0.00103987,0.00103987
40,824.667,0.96598,0.51819,0.8342,0.93766,0.79673,0.87404,0.58497,1.16693,0.51862,0.85135,0.00102337,0.00102337,0.00102337
41,844.478,0.98333,0.53394,0.83946,0.91763,0.78143,0.88162,0.57455,1.1607,0.53642,0.85032,0.00100687,0.00100687,0.00100687
42,863.936,0.97704,0.52809,0.83359,0.84266,0.85954,0.90795,0.59412,1.2,0.52461,0.85674,0.000990365,0.000990365,0.000990365
43,883.47,0.99347,0.5307,0.82694,0.90407,0.72138,0.86049,0.5565,1.14508,0.53182,0.84609,0.000973861,0.000973861,0.000973861
44,903,0.94931,0.50447,0.83116,0.93282,0.90518,0.92122,0.66514,1.12336,0.50073,0.84786,0.000957358,0.000957358,0.000957358
45,922.654,0.93905,0.52432,0.82743,0.86323,0.82934,0.88622,0.61191,1.13812,0.52134,0.85022,0.000940855,0.000940855,0.000940855
46,942.101,0.9538,0.53074,0.82996,0.9587,0.86572,0.90877,0.62965,1.13325,0.5041,0.84548,0.000924352,0.000924352,0.000924352
47,963.039,0.95818,0.52066,0.83662,0.86561,0.9467,0.91636,0.62836,1.14072,0.48701,0.84886,0.000907848,0.000907848,0.000907848
48,983.163,0.93301,0.50031,0.82599,0.81419,0.85306,0.84542,0.60331,1.10381,0.52158,0.84248,0.000891345,0.000891345,0.000891345
49,1003.76,0.94892,0.49869,0.83053,0.78492,0.82136,0.87255,0.59375,1.12998,0.50771,0.84532,0.000874842,0.000874842,0.000874842
50,1023.17,0.95348,0.51334,0.83292,0.98287,0.77095,0.87168,0.61243,1.14005,0.5178,0.84498,0.000858338,0.000858338,0.000858338
51,1042.54,0.94156,0.49341,0.82552,0.92822,0.82228,0.89078,0.60695,1.14573,0.50022,0.8482,0.000841835,0.000841835,0.000841835
52,1062.02,0.93042,0.49368,0.8181,0.90274,0.84912,0.90999,0.63245,1.14242,0.49446,0.85105,0.000825332,0.000825332,0.000825332
53,1081.42,0.92868,0.47932,0.83138,0.88852,0.90404,0.9165,0.64526,1.11558,0.50131,0.84241,0.000808828,0.000808828,0.000808828
54,1100.82,0.93613,0.48717,0.82892,0.94532,0.83891,0.92841,0.64488,1.12479,0.4996,0.84179,0.000792325,0.000792325,0.000792325
